id,q1,q2,q3,q4,q10a,q10b,q10c,q10d,q10e,q10f,q10g,Q11,Q12,Q13,Q14,Q15,Q16,Q17,PC_1,PC_2,PC_3
983,1,6,7,3,3,2,4,3,3,2,3,0,8,80,9,1,2,1,0.03495320047,-0.2160533988,0.5350152611
106,1,6,5,5,9,2,2,4,2,1,2,25,5,0,5,2,2,1,0.08840691099,1.379815678,0.3248574378
1092,1,6,2,3,2,1,2,1,2,3,1,10,7,0,9,2,2,1,-1.169729883,-0.5915860473,-1.197706093
1093,1,6,7,5,2,1,1,1,5,3,2,20,6,0,5,1,1,1,0.2052568958,-0.8395252034,-1.591595441
1095,1,6,5,4,2,1,2,2,2,2,4,15,5,0,9,2,2,1,-0.2374507995,-1.371897037,-0.6434672804
1301,1,6,2,4,5,1,1,2,3,2,5,30,9,0,1,2,2,1,0.820899789,-0.784745049,-0.9258259714
1304,1,5,#NULL!,6,4,3,4,3,2,2,3,50,7,5,1,1,2,1,0.005079512455,-0.8938962649,1.492966798
1571,1,6,5,3,9,3,3,2,2,9,2,40,4,0,9,2,2,1,1.288647363,2.375717881,0.3062858462
1573,1,6,7,3,1,4,2,2,2,5,4,20,6,0,1,1,2,1,0.2273859925,-0.5209467702,0.1970960521
1574,1,6,5,4,2,4,1,5,1,1,2,5,6,0,9,2,2,1,-0.8923696679,0.2125773152,0.4359136994
504,1,1,#NULL!,2,5,2,1,4,4,1,1,10,8,0,3,2,2,1,0.009186573408,0.7892642576,-0.5707564949
505,1,1,#NULL!,2,2,1,1,2,1,1,1,15,5,0,4,2,2,1,-1.698280434,-0.9348057308,-1.17229612
362,1,6,2,5,2,2,5,2,3,2,1,5,4,15,9,1,2,1,-0.8825575659,-0.5032021339,0.7610780365
1134,1,5,5,6,5,4,3,3,3,3,3,4,6,0,1,2,2,1,0.4075872234,1.102109485,0.820653264
1135,1,6,3,6,2,2,1,4,5,5,2,20,6,75,1,2,2,1,1.150549942,0.08277012382,-0.7641721347
1051,1,6,2,6,2,3,2,2,5,5,2,10,6,20,11,1,2,1,0.7093480246,0.2954541567,-0.4817201403
1701,1,6,5,2,3,1,2,3,3,3,5,20,8,0,1,2,2,1,0.9462903935,-1.0105499,-0.464474184
213,1,6,6,7,5,5,4,5,5,9,2,0,1,0,4,1,2,1,2.249708736,2.868000039,1.505642693
215,1,4,#NULL!,6,2,1,2,1,4,2,1,20,2,0,1,2,2,1,-0.6678509992,-0.9726177025,-1.01371547
352,1,4,#NULL!,4,3,2,1,4,4,1,4,30,7,10,1,2,2,1,0.8137911526,-0.9425394927,-0.1981141254
953,1,6,5,6,2,1,4,2,1,1,2,30,7,10,1,1,2,1,-1.301415161,-1.711645102,0.3854345129
955,1,1,#NULL!,3,2,2,2,2,1,1,1,48,8,0,9,1,2,1,-1.533829465,-1.537952912,-0.06846524325
801,1,1,#NULL!,5,2,2,2,2,2,2,2,30,5,0,1,2,2,1,-0.7974521993,-1.099210733,-0.259600796
803,1,6,7,6,5,2,3,5,4,1,3,25,8,80,5,1,2,1,0.8891430205,-0.01056286494,0.8345400435
805,1,5,5,5,5,3,5,5,2,2,2,0,2,10,9,1,2,1,-0.08675418503,0.9408255686,1.881640483
1532,1,6,5,5,2,4,1,2,1,1,1,30,4,5,1,2,2,1,-1.675319775,-0.5372905089,0.04886997721
1561,1,6,6,4,3,2,4,4,3,4,3,10,4,40,1,2,2,1,0.6250290841,-0.03628402574,0.7725922664
1563,1,6,2,5,1,4,5,4,1,1,1,10,3,0,1,1,2,1,-1.490250659,-0.4932280024,2.077746697
1565,1,6,2,4,5,3,3,4,2,5,1,0,1,90,1,2,2,1,-0.02173258864,1.701384591,0.4957290785
1381,1,6,1,3,2,2,2,1,2,2,2,5,3,0,9,2,2,1,-1.120379984,-0.609815483,-0.6988156481
1043,1,6,5,3,1,1,2,2,3,2,3,15,7,50,1,2,2,1,-0.2894881643,-1.458404502,-0.8015291934
1044,1,6,4,4,2,2,3,3,2,5,3,15,7,75,1,1,2,1,0.224837998,-0.3564254856,0.05507620697
853,1,6,3,9,3,2,3,5,4,3,4,2,5,80,6,1,1,2,1.245931103,0.02311555786,0.5158032167
854,1,6,5,3,3,1,2,4,4,3,4,25,6,1,1,2,2,2,1.180303418,-0.8138123037,-0.2710033346
855,1,3,#NULL!,7,2,4,5,5,1,2,1,0,1,0,1,2,1,2,-1.066349631,0.3469277922,2.162632452
851,1,6,1,6,1,3,5,5,5,5,5,100,10,80,1,1,2,2,2.557847933,-2.69435548,2.565091366
883,1,6,3,9,2,2,2,1,1,1,1,5,4,0,9,2,1,2,-1.955679023,-0.6250273371,-0.6642365334
885,1,3,#NULL!,9,2,1,3,4,5,5,4,0,6,0,4,1,1,2,1.689777827,-0.2250500042,-0.2869560889
882,1,6,1,3,3,2,3,3,3,4,1,0,10,95,4,1,2,2,-0.1838020339,0.6101218178,-0.2260306804
1353,1,5,2,7,3,1,1,2,1,4,1,0,3,0,1,2,1,2,-1.105748765,0.2726973371,-1.494744163
1355,1,6,5,6,2,2,1,2,2,2,2,5,3,5,1,1,2,2,-0.929963682,-0.4262855881,-0.9475286364
871,1,5,#NULL!,7,2,2,1,2,2,2,4,0,5,0,1,2,1,2,-0.3209656224,-0.6701385256,-0.9115097558
872,1,2,#NULL!,7,1,2,2,3,3,4,1,0,3,0,1,2,1,2,-0.444577752,-0.02983131441,-0.6046336499
764,1,5,#NULL!,7,2,2,4,3,2,2,4,2,5,100,1,1,2,2,-0.1165471291,-0.8497115319,0.6893067003
