id,q1,q2,q3,q4,q10a,q10b,q10c,q10d,q10e,q10f,q10g,Q11,Q12,Q13,Q14,Q15,Q16,Q17
383.00,1,4,#NULL!,7,5,2,1,2,3,4,4,3.00,2,0.00,5,2,1,2
384.00,1,6,2,7,5,1,1,2,5,5,4,0.00,9,60.00,6,1,1,2
815.00,1,6,2,8,2,1,1,2,5,3,1,0.00,5,75.00,1,1,2,2
200029169.00,1,5,#NULL!,8,2,2,3,4,2,1,2,0.00,99,10.00,9,2,1,2
200029169.00,1,6,1,8,4,2,2,4,4,4,3,0.00,8,90.00,4,1,1,2
200029169.00,1,3,#NULL!,8,2,2,1,2,5,3,1,0.00,2,0.00,3,1,1,2
43.00,1,2,#NULL!,5,3,1,2,1,1,1,1,40.00,6,0.00,1,2,1,2
1194.00,1,2,#NULL!,6,5,2,2,2,1,2,2,10.00,9,0.00,1,2,1,2
1191.00,1,2,#NULL!,7,4,2,1,2,3,4,1,0.00,7,5.00,1,2,1,2
991.00,1,6,6,6,4,3,2,3,3,3,2,12.00,7,65.00,5,1,2,2
994.00,1,5,5,5,3,1,3,3,4,2,4,10.00,6,20.00,1,2,2,2
374.00,1,6,5,7,3,4,5,4,3,1,2,0.00,4,10.00,1,2,1,2
122.00,1,6,2,8,5,1,2,2,4,9,4,0.00,10,80.00,1,1,1,2
122.00,1,3,#NULL!,7,2,2,3,2,2,5,2,0.00,7,0.00,4,2,1,2
122.00,1,4,#NULL!,7,1,1,1,5,5,5,2,0.00,7,0.00,11,2,2,2
